Path 	 File name 	 Pin 	 Position 	 Ampiltude 1 [mV] 	  Error 	 Ampiltude 2 [mV] 	 Error	 Charge 1 [pC] 	 Error 	 Charge 2 [pC] 	  Error 	 Geometrical mean [pC] 	 Error 	 Aritmetical mean [pC] 	 Error 	 Time difference resolution [ps] 	 Error
../TBJPETRun2/2021.06.28_0001.root	2021.06.28_0001.root 			-416.219	8.66257	-511.673	5.51279	0.438979	0.0108208	0.510128	0.00795557	0.473792	0.00558284	0.471574	0.00595889	642.409	7.4869
../TBJPETRun2/2021.06.28_0002.root	2021.06.28_0002.root 			-423.542	10.6423	-514.513	16.9559	0.444686	0.00917019	0.5135	0.00974074	0.478172	0.00962953	0.475107	0.00714515	609.721	6.82199
../TBJPETRun2/2021.06.28_0003.root	2021.06.28_0003.root 			-410.628	5.89668	-530.533	7.20499	0.440758	0.009037	0.522781	0.00988678	0.482638	0.00804471	0.480378	0.0086634	617.551	6.7915
../TBJPETRun2/2021.06.28_0004.root	2021.06.28_0004.root 			-378.151	6.4129	-502.305	6.41781	0.397769	0.0123949	0.498249	0.0117923	0.449535	0.00767825	0.435395	0.0191834	654.686	7.37978
../TBJPETRun2/2021.06.28_0005.root	2021.06.28_0005.root 			-397.04	6.53918	-531.951	6.72728	0.420769	0.0138514	0.530491	0.00788766	0.434518	0.0586906	-2.28241	1.66021	567.026	6.23848
../TBJPETRun2/2021.06.29_0001.root	2021.06.29_0001.root 			-370.466	7.6796	-515.322	5.24268	0.441923	0.00919658	0.519382	0.00703116	0.477681	0.0128094	0.477411	0.00715966	587.076	6.38545
../TBJPETRun2/2021.06.29_0002.root	2021.06.29_0002.root 			-472.002	8.24882	-511.266	6.3326	0.499106	0.023313	0.502498	0.0108763	0.500589	0.00804144	0.500155	0.00803321	549.468	6.00156
../TBJPETRun2/2021.06.29_0003.root	2021.06.29_0003.root 			-428.133	9.2448	-483.697	7.96067	0.449991	0.00958923	0.48328	0.0133206	0.457835	0.0189904	0.456655	0.0197112	607.052	6.95718
../TBJPETRun2/2021.06.29_0004.root	2021.06.29_0004.root 			-376.557	6.09689	-502.321	7.96347	0.387422	0.0103196	0.499989	0.0094964	0.441471	0.00683087	0.437713	0.00674494	650.896	7.73373
../TBJPETRun2/2021.06.29_0005.root	2021.06.29_0005.root 			-352.528	20.2429	-510.628	5.5333	0.371048	0.00865277	0.51817	0.0104797	0.442762	0.00649439	0.435819	0.00742837	613.033	6.61151
../TBJPETRun2/2021.06.30_0001.root	2021.06.30_0001.root 			-361.397	9.06729	-479.185	9.30093	0.367892	0.0137375	0.461209	0.00943987	0.413916	0.00783137	0.410527	0.00909213	678.591	7.1462
../TBJPETRun2/2021.06.30_0002.root	2021.06.30_0002.root 			-403.324	5.77797	-517.029	7.01336	0.420561	0.0167304	0.49726	0.0120458	0.458776	0.00991226	0.455886	0.00768192	601.388	6.37085
../TBJPETRun2/2021.06.30_0003.root	2021.06.30_0003.root 			-404.224	6.18324	-500.926	5.07382	0.413324	0.0105252	0.480834	0.013327	0.449518	0.0108916	0.446055	0.00910595	606.049	6.42143
../TBJPETRun2/2021.06.30_0005.root	2021.06.30_0005.root 			-398.713	6.60727	-499.23	7.33868	0.406218	0.0241897	0.477927	0.0210762	0.448943	0.00720685	0.44626	0.00773065	619.168	6.71015
